date,open,high,low,close,volume,adj_close,change_percent,avg_vol_20d
2008-03-13,129.61,132.64,128.6,131.65,349430500,96.2976,0.220740903,230215349.3
2008-03-14,132.77,132.81,127.78,129.61,484574688,94.8054,-1.549571329,243693488.4
2008-03-17,126.57,129.26,126.07,128.3,404979906,93.8472,-1.010701922,256246293.1
2008-03-18,130.62,133.69,129.98,133.63,334234812,97.7459,4.154306149,265703448.5
2008-03-19,134.14,134.65,130.04,130.32,345440188,95.3247,-2.477034842,271949918.1
2008-03-20,130.05,132.91,129.26,132.08,243211016,97.0904,1.85230061,274061499.3
2008-03-24,133.31,135.81,133.24,134.72,208850703,99.031,1.998755799,274233039.2
2008-03-25,134.86,135.55,133.77,134.85,192849500,99.1266,0.096535428,274387789.2
2008-03-26,134.46,135.0884,133.11,133.2,196656703,97.9137,-1.223586807,273608459.5
2008-03-27,134.2,134.44,132.36,132.78,225106406,97.6049,-0.315379768,276457570.4
2008-03-28,132.99,133.36,131.06,131.51,180884984,96.6714,-0.956406902,277013868.8
2008-03-31,131.29,132.73,131.09,131.97,166371594,97.0095,0.349741495,272701839.1
2008-04-01,133.71,136.84,133.51,136.61,254379391,100.4203,3.515944315,275950008.6
2008-04-02,137.06,137.67,135.98,136.7,210825109,100.4865,0.065922926,272374143.8
2008-04-03,135.94,137.44,135.71,137.04,175526891,100.7364,0.248690123,267627683.6
2008-04-04,137.12,137.96,136.12,136.89,204426203,100.6261,-0.109493688,265476749.2
2008-04-07,137.87,138.57,136.74,136.96,154244703,100.6776,0.051179565,256871490.6
2008-04-08,136.19,137.1554,135.95,136.82,147911297,100.5747,-0.102207442,252493050.8
2008-04-09,136.61,136.8,134.89,135.83,195610594,99.847,-0.723541805,245199989.9
2008-04-10,135.39,136.67,134.9,136.02,192967812,99.9866,0.139813915,243424150
2008-04-11,134.45,135.9837,133.01,133.38,222973297,98.046,-1.940860075,237101289.9
2008-04-14,133.19,133.54,132.55,132.93,160522000,97.7152,-0.337392652,220898655.5
2008-04-15,133.58,133.69,132.33,133.24,172389203,97.9431,0.233228812,209269120.3
2008-04-16,134.54,136.93,134.4,136.85,189268797,100.5967,2.709328171,202020819.6
2008-04-17,136.02,137.25,135.66,137.05,179707500,100.7438,0.146227461,193734185.2
2008-04-18,138.94,139.56,138.26,138.48,218530594,101.7949,1.04333964,192500164.1
2008-04-21,138.23,138.98,136.87,138.55,118587398,101.8464,0.050591926,187986998.8
2008-04-22,138.19,138.37,136.64,137.94,162166094,101.398,-0.440270839,186452828.5
2008-04-23,138.09,138.78,137.12,137.72,193308984,101.2363,-0.159470601,186285442.6
2008-04-24,138.08,139.74,137.04,138.32,229381406,101.6773,0.435614498,186499192.6
2008-04-25,139.41,139.89,137.91,139.6,190788094,102.6182,0.925378624,186994348.1
2008-04-28,139.88,140.25,139.38,139.63,105616492,102.6403,0.021536141,183956593
2008-04-29,139.39,139.73,138.61,139.08,125514000,102.236,-0.393899862,177513323.4
2008-04-30,139.29,140.59,138.26,138.26,208395812,101.6332,-0.589616182,177391858.6
2008-05-01,138.39,141.12,138.27,141.12,187279500,103.7356,2.068615374,177979489
2008-05-02,142.33,142.37,140.56,141.51,181585500,104.0223,0.276375709,176837453.9
2008-05-05,141.05,141.61,140.41,140.83,118510398,103.5224,-0.480570032,175050738.6
2008-05-06,140.01,142.2,139.69,142.05,179339812,104.4192,0.866285944,176622164.4
2008-05-07,141.89,142.04,139.13,139.52,199267203,102.5594,-1.781090068,176804994.8
2008-05-08,139.74,140.32,138.98,139.16,178321203,102.2948,-0.257996829,176072664.4
2008-05-09,138.6,139.39,138.45,138.9,152589703,102.1037,-0.186813015,172553484.7
2008-05-12,139.25,140.56,138.73,140.46,150911391,103.2504,1.123073894,172072954.2
2008-05-13,140.8,140.89,139.73,140.48,159141906,103.2651,0.014237233,171410589.4
2008-05-14,141.07,142.2,140.462,140.77,181910703,103.4783,0.20645891,171042684.7
2008-05-15,141.04,142.63,140.83,142.53,166927016,104.772,1.250213813,170403660.5
2008-05-16,142.86,142.87,141.61,142.66,204236797,104.8676,0.091245753,169688970.6
2008-05-19,142.81,144.3,142.3,143.05,165704094,105.1543,0.273392354,172044805.4
2008-05-20,142.27,142.34,141,141.89,178552000,104.3016,-0.810903596,172864100.7
2008-05-21,141.81,142.12,139,139.49,252724797,102.5374,-1.691440975,175834891.4
2008-05-22,139.43,140.17,139,139.51,170820297,102.5521,0.014336232,172906835.9
2008-05-23,139.05,139.6631,137.52,137.64,181436188,101.1775,-1.340391859,172439240.6
2008-05-27,137.8,139,137.53,138.66,168322797,101.9273,0.741073855,175574555.9
2008-05-28,139.17,140,138,139.3,181288094,102.3977,0.461505406,178363260.6
2008-05-29,139.13,140.93,139.08,140,173927203,102.9123,0.50255035,176639830.1
2008-05-30,140.47,140.74,139.94,140.35,117361906,103.1695,0.249921535,173143950.4
2008-06-02,139.83,139.86,138,138.9,181069906,102.1037,-1.03305725,173118170.7
2008-06-03,139.3,139.62,137.23,138.09,272049875,101.5083,-0.583132639,180795144.6
2008-06-04,137.7,139.16,137.46,138.02,246726297,101.4568,-0.050734768,184164468.8
2008-06-05,138.58,140.89,138.32,140.78,237867016,103.4856,1.999668825,186094459.5
2008-06-06,139.55,139.8,136.22,136.29,384276281,100.1851,-3.189332622,196392213.4
2008-06-09,136.86,137.5,135.41,136.62,228263906,100.4277,0.242151777,200175923.5
2008-06-10,135.67,137.1,135.35,135.94,260234797,99.9278,-0.497771033,205642093.8
2008-06-11,135.97,136.2592,133.93,133.94,284064375,98.4576,-1.471262251,211888217.3
2008-06-12,134.6,135.87,133.52,134.45,252791703,98.8325,0.380773043,215432267.3
2008-06-13,135.17,136.52,134.418,136.15,244727109,100.0822,1.264462601,219322271.9
2008-06-16,135.55,136.93,135.46,136.23,185832500,100.141,0.058751706,218402057.1
2008-06-17,137.07,137.12,135.37,135.57,191743812,99.6558,-0.484516831,219704043
2008-06-18,134.69,135.5235,133.71,134.25,266970594,98.6855,-0.973651308,224124972.7
2008-06-19,134.15,135.24,132,134.42,304310906,98.8105,0.126665012,226704278.1
2008-06-20,132.84,133.09,131.22,131.58,289275719,97.2068,-1.623005652,232627049.2
2008-06-23,132.09,132.23,131.32,131.45,165115703,97.1107,-0.098861397,231811025
2008-06-24,131.05,132.44,130.19,131.19,267300594,96.9187,-0.197712507,236759914.8
2008-06-25,131.72,133.4,131.239,131.81,287853781,97.3767,0.472561023,242088199.2
2008-06-26,130.57,131.42,128.08,128.23,297775000,94.7319,-2.716050143,248280589
2008-06-27,128.28,128.86,127.035,127.53,303423281,94.2148,-0.545856253,257583657.8
2008-06-30,127.89,128.91,127.3,127.98,258888188,94.5472,0.352810811,261474571.9
2008-07-01,126.52,128.47,125.93,128.38,388621875,94.8427,0.312542307,267303171.9
2008-07-02,128.79,129.16,125.95,126.18,291223188,93.2174,-1.713679598,269528016.4
2008-07-03,127.11,127.11,124.99,126.31,239359703,93.3135,0.103092341,269602650.8
2008-07-07,126.79,127.34,123.92,125.02,372427188,92.3605,-1.021288452,269010196.1
2008-07-08,124.99,127.39,124.2,127.24,376225406,94.0005,1.775650846,276408271.1
2008-07-09,127.5,127.74,124.39,124.79,336789781,92.1906,-1.92541529,280236020.3
2008-07-10,124.43,125.79,123.58,125.3,436475719,92.5673,0.408609988,287856587.5
2008-07-11,123.97,125.9,122.49,123.84,481124594,91.4887,-1.165206288,299273232.1
2008-07-14,125.26,125.5,122.4,122.72,322720812,90.6613,-0.904373983,303172917.2
2008-07-15,121.8,123.49,120.02,120.99,502502406,89.3833,-1.409642262,319006412.5
2008-07-16,121.45,124.57,121.1,123.96,371642906,91.5774,2.454709101,328001367.2
2008-07-17,125.14,126.26,124.09,125.2,375490500,92.4935,1.000355983,333427362.5
2008-07-18,126.17,126.4159,125.15,125.98,267030000,93.0697,0.622962695,331563317.2
2008-07-21,126.51,126.8,125.19,126.05,222863016,93.1214,0.055549765,328242682.1
2008-07-22,125.15,127.8,124.85,127.48,296904188,94.1778,1.134433116,334832106.3
2008-07-23,127.89,129.15,127.55,128.17,311698312,94.6876,0.541316531,337051992.2
2008-07-24,128.34,128.41,125.16,125.51,248634500,92.7225,-2.075350944,335091028.2
2008-07-25,125.89,126.49,125.17,125.48,219131016,92.7003,-0.023942409,331158829
2008-07-28,125.51,126.06,123.42,123.64,205202891,91.341,-1.466338297,326247809.5
2008-07-29,123.98,126.38,123.64,126.28,261505500,93.2913,2.135185733,326378675.1
2008-07-30,127.11,128.6,126.28,128.53,354709875,94.9535,1.781730987,324683075.1
2008-07-31,127.4,128.57,126.63,126.83,277402219,93.6976,-1.322647401,323992026.6
2008-08-01,127.12,127.28,125.46,126.16,248703594,93.2027,-0.528188556,324459221.2
2008-08-04,126.04,126.14,124.76,124.99,188251703,92.3383,-0.927440943,315250446.9
2008-08-05,126.02,128.56,124.9736,128.36,251624297,94.828,2.696280958,309020391.5
2008-08-06,128.02,129.3,127.48,128.93,209555391,95.2491,0.444067153,302658672
2008-08-07,127.96,129.0549,126.54,127.01,246312500,93.8306,-1.489252917,293150511
2008-08-08,126.58,129.93,126.38,129.37,260811703,95.5741,1.858135832,282134866.5
2008-08-11,129.47,131.51,129.23,130.71,249425797,96.5641,1.035845485,278470115.7
2008-08-12,130.2801,130.7028,128.73,129.35,213200797,95.5593,-1.040552338,264005035.3
2008-08-13,128.79,129.65,127.67,128.57,256467203,94.9831,-0.602976372,258246250.1
2008-08-14,127.84,130.28,127.75,129.54,239556094,95.6997,0.754450002,251449529.8
2008-08-15,129.93,130.5,129.3,130.17,181005406,96.1651,0.486312914,247148300.1
2008-08-18,130.43,130.48,127.66,128.39,172275109,94.8501,-1.367439955,244618904.8
2008-08-19,127.42,128.1181,126.53,126.99,194673594,93.8158,-1.090457469,239507375.1
2008-08-20,127.39,127.95,126.34,127.58,225498094,94.2517,0.464633889,235197364.2
2008-08-21,126.75,128.44,126.6,127.8,180609797,94.4142,0.172410683,231796129
2008-08-22,128.67,129.65,127.8,129.65,167715203,95.781,1.447663593,229225338.4
2008-08-25,128.8,129.65,126.75,127.02,171936891,93.838,-2.028586045,227562038.4
2008-08-26,127.02,127.87,126.58,127.39,159117203,94.1114,0.291353183,222442623.5
2008-08-27,127.55,128.83,127.3,128.63,171032703,95.0274,0.973314604,213258764.9
2008-08-28,129.28,130.34,128.63,130.19,167537109,96.1799,1.212808095,207765509.4
2008-08-29,129.73,130.14,128.51,128.79,189210000,95.1456,-1.075380615,204790829.7
2008-09-02,130.03,130.71,127.52,127.99,252469594,94.5546,-0.621153264,208001724.3
2008-09-03,127.88,128.5,126.93,127.88,251949703,94.4733,-0.085982068,208017994.6
2008-09-04,126.97,127.23,123.96,124.03,340438594,91.6291,-3.01058606,214562154.7
2008-09-05,123.29,124.95,122,124.42,289514594,91.9172,0.314419764,216722259.4
2008-09-08,128.04,128.24,124.42,126.99,364148812,93.8158,2.065554651,221889114.9
2008-09-09,127.1,127.36,122.8,123.22,377326688,91.0307,-2.968689709,228284159.4
2008-09-10,123.89,124.9,122.55,123.72,298916500,91.4001,0.405797165,232569944.6
2008-09-11,122.12,125.74,121.6,125.51,375369312,92.7225,1.446825551,238515050
2008-09-12,124.29,126.21,123.83,126.09,297851188,93.151,0.462131629,241429804.7
2008-09-15,121.63,125.652,119.89,120.09,483607000,88.7184,-4.758510376,256559884.4
2008-09-16,117.2,122.32,117,122.1,581744188,90.2033,1.6737227,277033338.4
2008-09-17,119.64,121.8517,116,116.61,624095500,86.1475,-4.49628783,298504433.7
2008-09-18,118.05,121.79,113.8,120.07,776114688,88.7036,2.967120346,326035263.4
2008-09-19,126.7,128,116.52,124.12,501146906,92.2263,3.971315708,342062118.8
2008-09-22,124.451,124.75,120.36,121.31,249966500,90.1383,-2.263996279,346174683.7
2008-09-23,120.85,122.02,118.28,118.55,328230219,88.0875,-2.275170488,353989350.1
2008-09-24,119.35,120,117.79,118.93,311871188,88.3699,0.320590322,361627049.3
2008-09-25,119.4,121.91,118.4369,120.79,328253000,89.752,1.563994075,369488064.2
2008-09-26,118.83,121.5,118.51,120.85,285917312,89.7965,0.049581068,375407074.3
2008-09-29,119.18,121.18,110.97,111.38,459562125,82.7599,-7.836162879,388924680.6
2008-09-30,113.51,116.8,110.5321,115.99,328510312,86.1854,4.13908185,392726716.5
2008-10-01,115.27,116.69,113.95,116.06,333084906,86.2374,0.060335045,396783476.6
2008-10-02,114.95,115.11,111.06,111.85,365632375,83.1092,-3.627428471,398043165.7
2008-10-03,112.86,115.45,109.68,110.34,461832500,81.9872,-1.350031043,406659061
2008-10-06,107.15,107.62,100.64,104.72,610791000,77.8113,-5.093356036,418991170.4
2008-10-07,106.84,107.33,99.65,100.03,540213500,74.3264,-4.478655414,427135511
2008-10-08,97.52,102.18,96.81,97.51,725788062,72.454,-2.519158738,448479089.1
2008-10-09,99.66,100.62,90.25,90.7,534758375,67.3938,-6.984017446,456448542.2
2008-10-10,86.76,93.94,83.58,88.5,871546875,65.7592,-2.425445664,485133326.6
2008-10-13,93.87,101.35,89.9479,101.35,456904719,75.3072,14.51964136,483798212.5
2008-10-14,104.7,105.53,97.11,99.85,546688375,74.1927,-1.479938173,482045421.9
2008-10-15,97.46,97.8,89.71,90.02,484627500,66.8886,-9.844769095,475072021.9
2008-10-16,91.29,94.77,86.54,93.77,708811188,69.675,4.165732277,471706846.9
2008-10-17,91.99,98.59,91.65,93.21,476770125,69.2589,-0.597201292,470488007.8
2008-10-20,95.35,99.1,94.0895,98.81,321294125,73.4199,6.007892126,474054389.1
2008-10-21,96.97,98.64,95.22,95.86,356501875,71.2279,-2.985566583,475467971.9
2008-10-22,93.2,95.86,87.53,90.64,516168000,67.3493,-5.445338133,485682812.5
2008-10-23,90.29,92.45,85.81,91.69,634666312,68.1295,1.158438172,501003478.1
2008-10-24,84.06,89.92,84,87.04,545812625,64.6743,-5.071518212,513998243.7
2008-10-27,85.97,89.51,83.7,83.95,400238594,62.3783,-3.550096406,511032067.2
2008-10-28,87.34,94.24,84.53,93.76,639939500,69.6676,11.68563427,526603526.6
2008-10-29,93.77,97.17,92.1,93.08,531381625,69.1623,-0.725301288,536518362.5
2008-10-30,95.78,96.54,92.9,96.3,414582031,71.5549,3.459399124,538965845.3
2008-10-31,95.08,98.57,94.48,96.83,411499906,71.9487,0.550346657,536449215.6
2008-11-03,96.78,97.69,95.95,97.11,205566797,72.1567,0.289094869,516188005.5
2008-11-04,99.06,100.86,96.7142,100.41,346977594,74.6088,3.398298426,506526210.2
2008-11-05,99.2,100.7114,95,96.19,390404094,71.4731,-4.202855427,489757011.8
